ticker,sector,size_tier
MCY,Financials,small
MD,Health Care,small
MDLZ,Consumer Staples,large
MDT,Health Care,large
MDU,Utilities,small
MEDP,Health Care,mid
MET,Financials,large
META,Communication Services,large
MFP,Industrials,small
MGEE,Utilities,small
MGM,Consumer Discretionary,large
MGY,Energy,small
MHK,Consumer Discretionary,small
MHO,Consumer Discretionary,small
MIDD,Industrials,mid
MIR,Information Technology,small
MKC,Consumer Staples,large
MKSI,Information Technology,mid
MKTX,Financials,small
MLI,Industrials,mid
MLKN,Industrials,small
MLM,Materials,large
MMI,Real Estate,small
MMM,Industrials,large
MMS,Industrials,mid
MMSI,Health Care,small
MNST,Consumer Staples,large
MO,Consumer Staples,large
MOG-A,Industrials,mid
MOH,Health Care,mid
MORN,Financials,mid
MOS,Materials,large
MP,Materials,mid
MPC,Energy,large
MPT,Real Estate,small
MPWR,Information Technology,large
MRCY,Industrials,small
MRK,Health Care,large
MRNA,Health Care,large
MRP,Real Estate,small
MRSH,Financials,large
MRTN,Industrials,small
MRVL,Information Technology,large
MS,Financials,large
MSA,Industrials,mid
MSCI,Financials,large
MSEX,Utilities,small
MSFT,Information Technology,large
MSGS,Communication Services,small
MSI,Information Technology,large
MSM,Industrials,mid
MTB,Financials,large
MTCH,Communication Services,small
MTD,Health Care,large
MTDR,Energy,mid
MTG,Financials,mid
MTH,Consumer Discretionary,small
MTN,Consumer Discretionary,mid
MTRN,Materials,small
MTSI,Information Technology,mid
MTUS,Materials,small
MTX,Materials,small
MTZ,Industrials,mid
MU,Information Technology,large
MUR,Energy,mid
MUSA,Consumer Discretionary,mid
MWA,Industrials,small
MXL,Information Technology,small
MYRG,Industrials,small
MZTI,Consumer Staples,mid
NABL,Information Technology,small
NATL,Financials,small
NAVI,Financials,small
NBHC,Financials,small
NBIX,Health Care,mid
NBTB,Financials,small
NCLH,Consumer Discretionary,large
NDAQ,Financials,large
NDSN,Industrials,large
NE,Energy,small
NEE,Utilities,large
NEM,Materials,large
NEO,Health Care,small
NEOG,Health Care,small
NEU,Materials,mid
NFG,Utilities,mid
NFLX,Communication Services,large
NGVT,Materials,small
NHC,Health Care,small
NHI,Real Estate,small
NI,Utilities,large
NIC,Financials,small
NJR,Utilities,mid
NKE,Consumer Discretionary,large
NLY,Financials,mid
NMIH,Financials,small
NNN,Real Estate,mid
NOC,Industrials,large
NOG,Energy,small
NOV,Energy,mid
NOVT,Information Technology,mid
NOW,Information Technology,large
NPK,Industrials,small
NPO,Industrials,small
NRG,Utilities,large
NSC,Industrials,large
NSIT,Industrials,small
NSP,Industrials,small
NSSC,Information Technology,small
NTAP,Information Technology,large
NTCT,Information Technology,small
NTNX,Information Technology,mid
NTRS,Financials,large
NTST,Real Estate,small
NUE,Materials,large
NVDA,Information Technology,large
NVR,Consumer Discretionary,large
NVST,Health Care,mid
NVT,Industrials,mid
NWBI,Financials,small
NWE,Utilities,mid
NWL,Consumer Discretionary,small
NWN,Utilities,small
NWS,Communication Services,large
NWSA,Communication Services,large
NX,Industrials,small
NXPI,Information Technology,large
NXRT,Real Estate,small
NXST,Communication Services,mid
NXT,Industrials,mid
NYT,Communication Services,mid
O,Real Estate,large
OC,Industrials,mid
ODFL,Industrials,large
OFG,Financials,small
OGE,Utilities,mid
OGN,Health Care,small
OGS,Utilities,mid
OHI,Real Estate,mid
OI,Materials,small
OII,Energy,small
OKE,Energy,large
OKTA,Information Technology,mid
OLED,Information Technology,mid
OLLI,Consumer Discretionary,mid
OLN,Materials,mid
OMC,Communication Services,large
OMCL,Health Care,small
ON,Information Technology,large
ONB,Financials,mid
ONTO,Information Technology,mid
OPCH,Health Care,mid
OPLN,Industrials,small
ORA,Utilities,mid
ORCL,Information Technology,large
ORI,Financials,mid
ORLY,Consumer Discretionary,large
OSIS,Information Technology,small
OSK,Industrials,mid
OSW,Consumer Discretionary,small
OTIS,Industrials,large
OTTR,Utilities,small
OUT,Real Estate,small
OVV,Energy,mid
OXY,Energy,large
OZK,Financials,mid
P,Information Technology,mid
PAG,Consumer Discretionary,mid
PAHC,Health Care,small
PANW,Information Technology,large
PARR,Energy,small
PATH,Information Technology,mid
PATK,Consumer Discretionary,small
PAYC,Industrials,small
PAYO,Financials,small
PAYX,Industrials,large
PB,Financials,mid
PBF,Energy,mid
PBH,Health Care,small
PBI,Industrials,small
PCAR,Industrials,large
PCG,Utilities,large
PCRX,Health Care,small
PCTY,Industrials,mid
PDFS,Information Technology,small
PEB,Real Estate,small
PECO,Real Estate,small
PEG,Utilities,large
PEGA,Information Technology,mid
PEN,Health Care,mid
PENG,Information Technology,small
PENN,Consumer Discretionary,small
PEP,Consumer Staples,large
PFBC,Financials,small
PFE,Health Care,large
PFG,Financials,large
PFGC,Consumer Staples,mid
PFS,Financials,small
PG,Consumer Staples,large
PGNY,Health Care,small
PGR,Financials,large
PH,Industrials,large
PHIN,Consumer Discretionary,small
PHM,Consumer Discretionary,large
PI,Information Technology,small
PII,Consumer Discretionary,mid
PINS,Communication Services,mid
PIPR,Financials,small
PJT,Financials,small
PK,Real Estate,mid
PKG,Materials,large
PLAB,Information Technology,small
PLD,Real Estate,large
PLMR,Financials,small
PLNT,Consumer Discretionary,mid
PLTR,Information Technology,large
PLUS,Information Technology,small
PLXS,Information Technology,small
PM,Consumer Staples,large
PMT,Real Estate,small
PNC,Financials,large
PNFP,Financials,mid
PNR,Industrials,large
PNW,Utilities,large
PODD,Health Care,large
POOL,Consumer Discretionary,small
POR,Utilities,mid
POST,Consumer Staples,mid
POWI,Information Technology,small
POWL,Industrials,small
PPC,Consumer Staples,mid
PPG,Materials,large
PPL,Utilities,large
PPLI,Communication Services,small
PR,Energy,mid
PRDO,Consumer Discretionary,small
PRG,Financials,small
PRGO,Health Care,small
PRGS,Information Technology,small
PRI,Financials,mid
PRIM,Industrials,small
PRK,Financials,small
PRKS,Consumer Discretionary,small
